"chronological_band","actioner_representation","record_count","gap_status"
"1368-1398_hongwu","court_and_officials","129","represented"
"1368-1398_hongwu","armed_forces","65","represented"
"1368-1398_hongwu","frontier_polities_and_communities","11","represented"
"1368-1398_hongwu","maritime_and_foreign_polities","8","represented"
"1368-1398_hongwu","local_society_and_elites","18","represented"
"1368-1398_hongwu","insurgents_and_mobile_groups","8","represented"
"1368-1398_hongwu","fiscal_and_commercial_actors","13","represented"
"1368-1398_hongwu","religious_and_cultural_actors","10","represented"
"1399-1424_jianwen_yongle","court_and_officials","141","represented"
"1399-1424_jianwen_yongle","armed_forces","53","represented"
"1399-1424_jianwen_yongle","frontier_polities_and_communities","17","represented"
"1399-1424_jianwen_yongle","maritime_and_foreign_polities","22","represented"
"1399-1424_jianwen_yongle","local_society_and_elites","10","represented"
"1399-1424_jianwen_yongle","insurgents_and_mobile_groups","6","represented"
"1399-1424_jianwen_yongle","fiscal_and_commercial_actors","18","represented"
"1399-1424_jianwen_yongle","religious_and_cultural_actors","7","represented"
"1425-1464_hongxi_tianshun","court_and_officials","179","represented"
"1425-1464_hongxi_tianshun","armed_forces","74","represented"
"1425-1464_hongxi_tianshun","frontier_polities_and_communities","31","represented"
"1425-1464_hongxi_tianshun","maritime_and_foreign_polities","19","represented"
"1425-1464_hongxi_tianshun","local_society_and_elites","42","represented"
"1425-1464_hongxi_tianshun","insurgents_and_mobile_groups","16","represented"
"1425-1464_hongxi_tianshun","fiscal_and_commercial_actors","20","represented"
"1425-1464_hongxi_tianshun","religious_and_cultural_actors","15","represented"
"1465-1505_chenghua_hongzhi","court_and_officials","176","represented"
"1465-1505_chenghua_hongzhi","armed_forces","77","represented"
"1465-1505_chenghua_hongzhi","frontier_polities_and_communities","47","represented"
"1465-1505_chenghua_hongzhi","maritime_and_foreign_polities","11","represented"
"1465-1505_chenghua_hongzhi","local_society_and_elites","65","represented"
"1465-1505_chenghua_hongzhi","insurgents_and_mobile_groups","19","represented"
"1465-1505_chenghua_hongzhi","fiscal_and_commercial_actors","38","represented"
"1465-1505_chenghua_hongzhi","religious_and_cultural_actors","23","represented"
"1506-1567_zhengde_jiajing","court_and_officials","305","represented"
"1506-1567_zhengde_jiajing","armed_forces","106","represented"
"1506-1567_zhengde_jiajing","frontier_polities_and_communities","36","represented"
"1506-1567_zhengde_jiajing","maritime_and_foreign_polities","79","represented"
"1506-1567_zhengde_jiajing","local_society_and_elites","63","represented"
"1506-1567_zhengde_jiajing","insurgents_and_mobile_groups","24","represented"
"1506-1567_zhengde_jiajing","fiscal_and_commercial_actors","63","represented"
"1506-1567_zhengde_jiajing","religious_and_cultural_actors","38","represented"
"1568-1620_longqing_wanli","court_and_officials","324","represented"
"1568-1620_longqing_wanli","armed_forces","129","represented"
"1568-1620_longqing_wanli","frontier_polities_and_communities","71","represented"
"1568-1620_longqing_wanli","maritime_and_foreign_polities","101","represented"
"1568-1620_longqing_wanli","local_society_and_elites","87","represented"
"1568-1620_longqing_wanli","insurgents_and_mobile_groups","8","represented"
"1568-1620_longqing_wanli","fiscal_and_commercial_actors","95","represented"
"1568-1620_longqing_wanli","religious_and_cultural_actors","45","represented"
"1621-1644_tianqi_chongzhen","court_and_officials","189","represented"
"1621-1644_tianqi_chongzhen","armed_forces","120","represented"
"1621-1644_tianqi_chongzhen","frontier_polities_and_communities","55","represented"
"1621-1644_tianqi_chongzhen","maritime_and_foreign_polities","33","represented"
"1621-1644_tianqi_chongzhen","local_society_and_elites","99","represented"
"1621-1644_tianqi_chongzhen","insurgents_and_mobile_groups","47","represented"
"1621-1644_tianqi_chongzhen","fiscal_and_commercial_actors","26","represented"
"1621-1644_tianqi_chongzhen","religious_and_cultural_actors","20","represented"
