"year_ce","record_count","gap_status"
"1368","18","represented"
"1369","11","represented"
"1370","9","represented"
"1371","6","represented"
"1372","7","represented"
"1373","5","represented"
"1374","3","thin"
"1375","3","thin"
"1376","6","represented"
"1377","3","thin"
"1378","3","thin"
"1379","3","thin"
"1380","3","thin"
"1381","3","thin"
"1382","2","thin"
"1383","2","thin"
"1384","2","thin"
"1385","5","represented"
"1386","2","thin"
"1387","3","thin"
"1388","3","thin"
"1389","2","thin"
"1390","2","thin"
"1391","2","thin"
"1392","2","thin"
"1393","2","thin"
"1394","2","thin"
"1395","2","thin"
"1396","2","thin"
"1397","4","represented"
"1398","7","represented"
"1399","6","represented"
"1400","5","represented"
"1401","6","represented"
"1402","13","represented"
"1403","7","represented"
"1404","7","represented"
"1405","4","represented"
"1406","5","represented"
"1407","13","represented"
"1408","4","represented"
"1409","8","represented"
"1410","4","represented"
"1411","5","represented"
"1412","4","represented"
"1413","5","represented"
"1414","4","represented"
"1415","5","represented"
"1416","4","represented"
"1417","4","represented"
"1418","3","thin"
"1419","4","represented"
"1420","3","thin"
"1421","4","represented"
"1422","4","represented"
"1423","3","thin"
"1424","7","represented"
"1425","5","represented"
"1426","4","represented"
"1427","4","represented"
"1428","4","represented"
"1429","4","represented"
"1430","4","represented"
"1431","5","represented"
"1432","4","represented"
"1433","8","represented"
"1434","4","represented"
"1435","4","represented"
"1436","4","represented"
"1437","4","represented"
"1438","4","represented"
"1439","4","represented"
"1440","4","represented"
"1441","4","represented"
"1442","4","represented"
"1443","4","represented"
"1444","4","represented"
"1445","3","thin"
"1446","3","thin"
"1447","3","thin"
"1448","7","represented"
"1449","13","represented"
"1450","5","represented"
"1451","5","represented"
"1452","5","represented"
"1453","5","represented"
"1454","4","represented"
"1455","4","represented"
"1456","4","represented"
"1457","4","represented"
"1458","4","represented"
"1459","4","represented"
"1460","4","represented"
"1461","4","represented"
"1462","4","represented"
"1463","4","represented"
"1464","4","represented"
"1465","4","represented"
"1466","5","represented"
"1467","4","represented"
"1468","4","represented"
"1469","4","represented"
"1470","4","represented"
"1471","4","represented"
"1472","4","represented"
"1473","4","represented"
"1474","4","represented"
"1475","5","represented"
"1476","5","represented"
"1477","5","represented"
"1478","5","represented"
"1479","5","represented"
"1480","4","represented"
"1481","4","represented"
"1482","4","represented"
"1483","4","represented"
"1484","4","represented"
"1485","4","represented"
"1486","4","represented"
"1487","4","represented"
"1488","4","represented"
"1489","4","represented"
"1490","4","represented"
"1491","4","represented"
"1492","4","represented"
"1493","4","represented"
"1494","4","represented"
"1495","4","represented"
"1496","4","represented"
"1497","4","represented"
"1498","4","represented"
"1499","4","represented"
"1500","5","represented"
"1501","5","represented"
"1502","5","represented"
"1503","5","represented"
"1504","5","represented"
"1505","5","represented"
"1506","5","represented"
"1507","5","represented"
"1508","5","represented"
"1509","4","represented"
"1510","5","represented"
"1511","4","represented"
"1512","4","represented"
"1513","4","represented"
"1514","4","represented"
"1515","4","represented"
"1516","4","represented"
"1517","4","represented"
"1518","4","represented"
"1519","10","represented"
"1520","4","represented"
"1521","8","represented"
"1522","4","represented"
"1523","4","represented"
"1524","4","represented"
"1525","5","represented"
"1526","5","represented"
"1527","5","represented"
"1528","5","represented"
"1529","5","represented"
"1530","5","represented"
"1531","5","represented"
"1532","5","represented"
"1533","5","represented"
"1534","5","represented"
"1535","5","represented"
"1536","5","represented"
"1537","5","represented"
"1538","5","represented"
"1539","4","represented"
"1540","4","represented"
"1541","4","represented"
"1542","6","represented"
"1543","4","represented"
"1544","4","represented"
"1545","6","represented"
"1546","4","represented"
"1547","4","represented"
"1548","6","represented"
"1549","4","represented"
"1550","6","represented"
"1551","6","represented"
"1552","5","represented"
"1553","5","represented"
"1554","5","represented"
"1555","5","represented"
"1556","5","represented"
"1557","5","represented"
"1558","5","represented"
"1559","6","represented"
"1560","5","represented"
"1561","5","represented"
"1562","5","represented"
"1563","5","represented"
"1564","5","represented"
"1565","5","represented"
"1566","5","represented"
"1567","7","represented"
"1568","5","represented"
"1569","5","represented"
"1570","5","represented"
"1571","5","represented"
"1572","5","represented"
"1573","5","represented"
"1574","5","represented"
"1575","6","represented"
"1576","6","represented"
"1577","6","represented"
"1578","6","represented"
"1579","6","represented"
"1580","6","represented"
"1581","6","represented"
"1582","6","represented"
"1583","6","represented"
"1584","7","represented"
"1585","6","represented"
"1586","6","represented"
"1587","7","represented"
"1588","5","represented"
"1589","6","represented"
"1590","5","represented"
"1591","5","represented"
"1592","10","represented"
"1593","6","represented"
"1594","5","represented"
"1595","5","represented"
"1596","6","represented"
"1597","6","represented"
"1598","10","represented"
"1599","6","represented"
"1600","7","represented"
"1601","8","represented"
"1602","7","represented"
"1603","7","represented"
"1604","7","represented"
"1605","6","represented"
"1606","7","represented"
"1607","6","represented"
"1608","6","represented"
"1609","6","represented"
"1610","6","represented"
"1611","6","represented"
"1612","6","represented"
"1613","7","represented"
"1614","6","represented"
"1615","7","represented"
"1616","7","represented"
"1617","7","represented"
"1618","6","represented"
"1619","6","represented"
"1620","6","represented"
"1621","6","represented"
"1622","8","represented"
"1623","6","represented"
"1624","7","represented"
"1625","10","represented"
"1626","9","represented"
"1627","10","represented"
"1628","10","represented"
"1629","10","represented"
"1630","9","represented"
"1631","9","represented"
"1632","9","represented"
"1633","9","represented"
"1634","8","represented"
"1635","9","represented"
"1636","9","represented"
"1637","8","represented"
"1638","8","represented"
"1639","7","represented"
"1640","8","represented"
"1641","9","represented"
"1642","9","represented"
"1643","9","represented"
"1644","9","represented"
