"year_ce","record_count","gap_status"
"1644","16","represented"
"1645","24","represented"
"1646","12","represented"
"1647","0","absent"
"1648","8","represented"
"1649","4","represented"
"1650","8","represented"
"1651","4","represented"
"1652","8","represented"
"1653","4","represented"
"1654","4","represented"
"1655","0","absent"
"1656","4","represented"
"1657","4","represented"
"1658","4","represented"
"1659","8","represented"
"1660","4","represented"
"1661","12","represented"
"1662","12","represented"
"1663","4","represented"
"1664","4","represented"
"1665","4","represented"
"1666","0","absent"
"1667","4","represented"
"1668","0","absent"
"1669","4","represented"
"1670","4","represented"
"1671","0","absent"
"1672","0","absent"
"1673","8","represented"
"1674","12","represented"
"1675","4","represented"
"1676","8","represented"
"1677","4","represented"
"1678","4","represented"
"1679","4","represented"
"1680","4","represented"
"1681","8","represented"
"1682","4","represented"
"1683","8","represented"
"1684","8","represented"
"1685","4","represented"
"1686","4","represented"
"1687","0","absent"
"1688","4","represented"
"1689","4","represented"
"1690","4","represented"
"1691","4","represented"
"1692","0","absent"
"1693","0","absent"
"1694","0","absent"
"1695","4","represented"
"1696","4","represented"
"1697","4","represented"
"1698","4","represented"
"1699","0","absent"
"1700","0","absent"
"1701","0","absent"
"1702","0","absent"
"1703","0","absent"
"1704","0","absent"
"1705","4","represented"
"1706","4","represented"
"1707","0","absent"
"1708","4","represented"
"1709","0","absent"
"1710","0","absent"
"1711","4","represented"
"1712","4","represented"
"1713","0","absent"
"1714","0","absent"
"1715","0","absent"
"1716","0","absent"
"1717","4","represented"
"1718","4","represented"
"1719","0","absent"
"1720","4","represented"
"1721","4","represented"
"1722","4","represented"
"1723","10","represented"
"1724","3","thin"
"1725","10","represented"
"1726","7","represented"
"1727","10","represented"
"1728","7","represented"
"1729","5","represented"
"1730","5","represented"
"1731","5","represented"
"1732","7","represented"
"1733","5","represented"
"1734","5","represented"
"1735","7","represented"
"1736","5","represented"
"1737","5","represented"
"1738","5","represented"
"1739","2","thin"
"1740","5","represented"
"1741","5","represented"
"1742","5","represented"
"1743","2","thin"
"1744","5","represented"
"1745","5","represented"
"1746","5","represented"
"1747","2","thin"
"1748","5","represented"
"1749","5","represented"
"1750","5","represented"
"1751","5","represented"
"1752","2","thin"
"1753","5","represented"
"1754","5","represented"
"1755","7","represented"
"1756","5","represented"
"1757","10","represented"
"1758","2","thin"
"1759","5","represented"
"1760","5","represented"
"1761","5","represented"
"1762","2","thin"
"1763","5","represented"
"1764","5","represented"
"1765","5","represented"
"1766","2","thin"
"1767","5","represented"
"1768","10","represented"
"1769","7","represented"
"1770","5","represented"
"1771","5","represented"
"1772","5","represented"
"1773","2","thin"
"1774","5","represented"
"1775","5","represented"
"1776","5","represented"
"1777","2","thin"
"1778","5","represented"
"1779","5","represented"
"1780","5","represented"
"1781","3","thin"
"1782","5","represented"
"1783","5","represented"
"1784","5","represented"
"1785","2","thin"
"1786","10","represented"
"1787","5","represented"
"1788","7","represented"
"1789","5","represented"
"1790","5","represented"
"1791","5","represented"
"1792","2","thin"
"1793","5","represented"
"1794","5","represented"
"1795","5","represented"
"1796","2","thin"
"1797","5","represented"
"1798","5","represented"
"1799","5","represented"
"1800","2","thin"
"1801","5","represented"
"1802","5","represented"
"1803","5","represented"
"1804","2","thin"
"1805","5","represented"
"1806","5","represented"
"1807","5","represented"
"1808","2","thin"
"1809","5","represented"
"1810","5","represented"
"1811","5","represented"
"1812","2","thin"
"1813","5","represented"
"1814","5","represented"
"1815","5","represented"
"1816","5","represented"
"1817","2","thin"
"1818","5","represented"
"1819","5","represented"
"1820","5","represented"
"1821","2","thin"
"1822","5","represented"
"1823","5","represented"
"1824","5","represented"
"1825","2","thin"
"1826","5","represented"
"1827","5","represented"
"1828","5","represented"
"1829","2","thin"
"1830","5","represented"
"1831","5","represented"
"1832","5","represented"
"1833","3","thin"
"1834","5","represented"
"1835","5","represented"
"1836","5","represented"
"1837","5","represented"
"1838","2","thin"
"1839","5","represented"
"1840","5","represented"
"1841","7","represented"
"1842","5","represented"
"1843","5","represented"
"1844","5","represented"
"1845","3","thin"
"1846","5","represented"
"1847","5","represented"
"1848","5","represented"
"1849","2","thin"
"1850","5","represented"
"1851","10","represented"
"1852","7","represented"
"1853","17","represented"
"1854","10","represented"
"1855","8","represented"
"1856","10","represented"
"1857","5","represented"
"1858","2","thin"
"1859","5","represented"
"1860","10","represented"
"1861","12","represented"
"1862","7","represented"
"1863","10","represented"
"1864","7","represented"
"1865","11","represented"
"1866","10","represented"
"1867","2","thin"
"1868","5","represented"
"1869","6","represented"
"1870","7","represented"
"1871","10","represented"
"1872","5","represented"
"1873","7","represented"
"1874","10","represented"
"1875","8","represented"
"1876","10","represented"
"1877","2","thin"
"1878","10","represented"
"1879","5","represented"
"1880","5","represented"
"1881","2","thin"
"1882","5","represented"
"1883","5","represented"
"1884","7","represented"
"1885","10","represented"
"1886","5","represented"
"1887","2","thin"
"1888","5","represented"
"1889","5","represented"
"1890","5","represented"
"1891","2","thin"
"1892","5","represented"
"1893","5","represented"
"1894","12","represented"
"1895","12","represented"
"1896","10","represented"
"1897","5","represented"
"1898","12","represented"
"1899","5","represented"
"1900","7","represented"
"1901","10","represented"
"1902","8","represented"
"1903","10","represented"
"1904","7","represented"
"1905","11","represented"
"1906","8","represented"
"1907","10","represented"
"1908","10","represented"
"1909","7","represented"
"1910","10","represented"
"1911","20","represented"
"1912","10","represented"
